,ba_beer_id,ba_date,ba_user_name,rb_date,rb_user_name,time_diff
5,58,2003-04-09 10:00:00,goz,2003-04-08 10:00:00,beerguy101,1
10,145,2002-10-07 10:00:00,dogbrick,2002-07-03 10:00:00,gusler,96
11,146,2003-01-05 11:00:00,aaronh,2003-04-27 10:00:00,goz,111
29,467,2003-02-08 11:00:00,gusler,2002-09-19 10:00:00,beerguy101,142
30,469,2003-03-07 11:00:00,gusler,2003-02-22 11:00:00,beerguy101,13
36,645,2002-08-10 10:00:00,aracauna,2002-04-01 10:00:00,gusler,131
40,680,2002-07-19 10:00:00,nerofiddled,2002-05-15 10:00:00,maxpower,65
50,802,2003-06-08 10:00:00,thedm,2003-06-02 10:00:00,hotstuff,6
57,995,2003-06-08 10:00:00,thedm,2003-06-02 10:00:00,hotstuff,6
62,1071,2008-06-12 10:00:00,lawman834,2008-03-24 11:00:00,jujubeast6000,79
73,1306,2003-03-03 11:00:00,gusler,2002-10-10 10:00:00,beerguy101,144
87,1421,2003-01-10 11:00:00,gusler,2002-09-25 10:00:00,beerguy101,107
89,1460,2002-08-13 10:00:00,aracauna,2002-04-09 10:00:00,gusler,126
90,1468,2002-12-13 11:00:00,maxpower,2002-10-04 10:00:00,beerguy101,70
97,1550,2002-10-10 10:00:00,aaronh,2002-08-22 10:00:00,dogbrick,49
133,1959,2003-10-07 10:00:00,dogbrick,2003-07-28 10:00:00,beerguy101,71
174,2557,2004-11-01 11:00:00,rastacouere,2005-01-19 11:00:00,sammy,79
192,2764,2002-08-22 10:00:00,aracauna,2002-04-25 10:00:00,gusler,119
195,2837,2007-01-09 11:00:00,badbeer,2007-05-28 10:00:00,crosling,138
204,3019,2002-12-01 11:00:00,aracauna,2002-09-06 10:00:00,gusler,86
246,3900,2005-07-06 10:00:00,hefevice,2005-03-08 11:00:00,stew41,119
348,6079,2002-11-12 11:00:00,gusler,2002-10-01 10:00:00,beerguy101,42
365,6314,2003-01-14 11:00:00,gusler,2002-10-01 10:00:00,beerguy101,105
401,6883,2008-09-21 10:00:00,sammy,2008-07-11 10:00:00,hopdog,72
426,7364,2008-08-20 10:00:00,drpimento,2008-08-12 10:00:00,crosling,8
462,8569,2003-02-15 11:00:00,gusler,2002-10-14 10:00:00,beerguy101,124
463,8570,2003-02-15 11:00:00,gusler,2003-05-02 10:00:00,beerguy101,75
542,10877,2014-06-27 10:00:00,toml219,2014-07-07 10:00:00,chinchill,10
552,11320,2003-07-08 10:00:00,thedm,2003-04-06 10:00:00,hotstuff,93
553,11321,2003-07-08 10:00:00,thedm,2003-04-06 10:00:00,hotstuff,93
554,11333,2003-07-09 10:00:00,thedm,2003-04-08 10:00:00,hotstuff,92
555,11334,2003-07-09 10:00:00,thedm,2003-04-08 10:00:00,hotstuff,92
604,13063,2009-09-02 10:00:00,berley31,2009-08-17 10:00:00,mrmanning,16
630,13726,2004-11-17 11:00:00,sammy,2004-12-11 11:00:00,rajendra82,24
664,14749,2012-08-29 10:00:00,johnnnniee,2012-07-09 10:00:00,tom10101,51
735,17234,2014-12-14 11:00:00,bulldogops,2014-10-29 11:00:00,vinivini,46
755,17674,2006-06-19 10:00:00,weeare138,2006-06-08 10:00:00,hopdog,11
762,17717,2010-08-10 10:00:00,udbeernut,2010-08-22 10:00:00,sammy,12
783,18290,2002-10-12 10:00:00,gusler,2002-10-06 10:00:00,beerguy101,6
