"country","num_users","avg_nbr_ratings","population_in_2010","percentage_reviewers_per_country","nbr_breweries","consumption_per_inhabitant_L_per_year_wikipedia","consumption_per_country_millionL_per_year_wikipedia","log_num_users","normalized_number_breweries"
"United States",137878.0,40.739559610670305,309327143.0,0.04457352130912094,33499.0,72.7,23920.0,11.834131767921008,1.4896334008959122e-06
"Canada",6391.0,42.144108903145046,34005902.0,0.018793796441570643,3902.0,53.5,1994.0,8.76280248744611,2.1447623838724327e-06
"England",3430.0,29.059766763848398,62766365.0,0.005464710279143934,3645.0,"NaN","NaN",8.14060704285845,"NaN"
"Australia",1959.0,33.78764675855028,22031750.0,0.008891713095873001,1847.0,75.1,1885.0,7.580699752224563,1.1162923886461702e-06
"Poland",1716.0,66.28263403263402,38042794.0,0.0045107097023420525,1795.0,97.7,3713.0,7.448333860897476,4.829447881522084e-07
"Netherlands",1296.0,41.69984567901235,16615394.0,0.007799995594446933,1289.0,79.3,1357.0,7.167809184316444,9.782933150835725e-07
"Sweden",1242.0,50.36231884057971,9378126.0,0.013243584059331256,1130.0,"NaN","NaN",7.1252830915107115,"NaN"
"Germany",1218.0,45.15024630541872,81776930.0,0.0014894176144788023,2278.0,99.0,8160.0,7.105786129481271,2.8137643477324243e-07
"Belgium",1218.0,31.45648604269294,10895586.0,0.011178838843546368,1331.0,65.9,765.0,7.105786129481271,1.8537110889465573e-06
"Brazil",1076.0,20.610594795539036,196353492.0,0.0005479912728009951,1018.0,58.4,12401.0,6.981934677156389,8.877614893304301e-08
"Italy",1059.0,31.704438149197355,59277417.0,0.0017865150905613855,1282.0,31.0,"NaN",6.966024187106113,6.976491352461835e-07
"Denmark",1014.0,55.21499013806706,5547683.0,0.018277900882224165,1056.0,59.8,347.0,6.922643891475888,3.183105969871419e-06
"Spain",984.0,30.372967479674795,46576897.0,0.0021126353694193066,1134.0,88.8,4119.0,6.892641641172089,2.741760635164311e-07
"Norway",746.0,39.53619302949062,4889252.0,0.015257957658962965,709.0,"NaN","NaN",6.616065185132817,"NaN"
"France",665.0,35.75338345864662,65030575.0,0.001022595909693248,933.0,33.0,"NaN",6.501289670540389,4.347605303002053e-07
"Finland",481.0,72.87941787941789,5363352.0,0.008968272080594374,471.0,72.0,403.0,6.1779441140506,1.2196974329983687e-06
"Ireland",462.0,23.058441558441558,4560155.0,0.010131234574263376,372.0,92.9,446.0,6.137727054086234,8.781073680739368e-07
"Mexico",417.0,23.85611510791367,112532401.0,0.00037055994210947297,402.0,70.5,9324.0,6.035481432524756,5.067098550198416e-08
"Russia",383.0,30.702349869451698,142849468.0,0.0002681144041782501,462.0,57.7,8306.0,5.950642552587727,5.6051538175921884e-08
"Switzerland",252.0,44.198412698412696,7824909.0,0.0032204847366276083,315.0,55.1,474.0,5.53338948872752,7.305999856233231e-07
"Japan",252.0,36.09920634920635,128070000.0,0.00019676739283204495,308.0,38.4,4869.0,5.53338948872752,6.262851045001432e-08
"Hungary",252.0,45.24603174603175,10000023.0,0.0025199942040133308,253.0,73.7,715.0,5.53338948872752,3.432827925391294e-07
"South Africa",211.0,21.61611374407583,51784921.0,0.0004074545175032709,238.0,60.1,3447.0,5.356586274672012,7.647142216824918e-08
"Greece",208.0,29.23076923076923,11121341.0,0.00187027805369874,211.0,"NaN","NaN",5.342334251964811,"NaN"
"Croatia",190.0,53.56842105263158,4295427.0,0.004423308788625671,171.0,85.5,351.0,5.25227342804663,4.6561145143428117e-07
"Czech Republic",190.0,51.1578947368421,10474410.0,0.0018139446517751359,292.0,128.0,1520.0,5.25227342804663,2.1779269667694887e-07
"Romania",158.0,47.651898734177216,20246871.0,0.0007803674948094448,141.0,100.3,1956.0,5.0689042022202315,6.943209407734502e-08
"Austria",148.0,31.06081081081081,8363404.0,0.0017696143818952189,334.0,107.8,949.0,5.003946305945459,3.7046282126122137e-07
"Portugal",145.0,34.262068965517244,10573100.0,0.0013714047914046023,144.0,54.9,565.0,4.983606621708336,2.4807774632530963e-07
"Slovenia",144.0,32.791666666666664,2048583.0,0.007029248997965911,127.0,"NaN","NaN",4.976733742420574,"NaN"
"Estonia",138.0,49.427536231884055,1331475.0,0.010364445445840139,151.0,80.5,105.0,4.9344739331306915,1.4087958072930606e-06
"Turkey",136.0,15.639705882352942,73142150.0,0.00018593929765531913,93.0,10.9,"NaN",4.919980925828125,1.1665107043945412e-07
"Serbia",120.0,26.516666666666666,7291436.0,0.0016457663483571685,111.0,54.7,481.0,4.795790545596741,2.7830600954851565e-07
"Chile",116.0,35.758620689655174,17004162.0,0.0006821859260103498,148.0,"NaN","NaN",4.762173934797756,"NaN"
