,ba_beer_id,total_reviews,first_year_reviews,ba_beer_name
0,45653,76,21,Consecration
1,77299,46,18,Resin
2,117177,22,15,Sip Of Sunshine IPA
3,40149,41,15,Brooklyn Black OPS
4,88889,15,14,3Beans
5,51071,24,13,Captain Sig's Northwestern Ale
6,110895,19,13,Hi-Res
7,77230,22,13,Galaxy White IPA
8,95746,15,12,Oatmeal Yeti
9,127652,13,12,Second Fiddle
10,78377,24,12,Simtra Triple IPA
11,39390,32,11,Jockamo IPA
12,92640,16,11,Drie Fonteinen Intense Red Oude Kriek
13,60284,16,11,SOS (Save Our Shore)
14,49436,18,11,Belgica
15,43385,20,11,Scurvy
16,215147,11,11,Weihenstephaner 1516 Kellerbier
