Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Weißenoher Altfränkisch Klosterbier,1.5,Germany,3.43,Klosterbrauerei Weissenohe,5.1,Märzen,500ml,500,3.0,Märzen,40459,3892,Klosterbrauerei Weißenohe,Oktoberfest/Märzen,145,49.0,89.0,3.2,5.1,3.211034482758621,,0,
Veldensteiner Zwickl,1.6,Germany,3.33,Kaiser Bräu,5.4,Kellerbier / Zwickelbier,500ml,500,3.2,Kellerbier / Zwickelbier,38448,2545,Kaiser Bräu,Zwickel/Keller/Landbier,189,40.0,61.0,3.05,5.4,3.052910052910053,,0,
Veltins Pilsener,1.1,Germany,3.18,Brauerei VELTINS,4.8,Pilsner - German,330ml,330,3.33,Pilsner,4040,693,Brauerei C.& A. Veltins,Pilsener,773,19.0,43.0,2.77,4.8,2.769469598965072,-1.013737223367779,772,2.769041450777202
Moinette Blonde,2.7,Belgium,3.56,Brasserie Dupont,8.5,Belgian Strong Golden Ale,Bottle 750ml,750,3.6,Belgian Strong Golden Ale,6162,808,Brasserie Dupont,Belgian Strong Ale,950,97.0,97.0,3.73,8.5,3.7423157894736847,,0,
Augustiner Edelstoff,1.83,Germany,3.62,Augustiner-Bräu München,5.6,Lager - Dortmunder / Export,500ml,500,3.66,Lager,9605,777,Augustiner-Bräu,Dortmunder/Helles,817,41.0,88.0,3.07,5.6,3.097674418604651,,0,
Tegernseer Hell,1.83,Germany,3.63,Herzoglich Bayerisches Brauhaus Tegernsee,4.8,Lager - Helles,500ml,500,3.66,Lager,17116,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dortmunder/Helles,277,35.0,80.0,2.99,4.8,3.0166064981949456,-0.6486090732774977,277,3.0166064981949456
Troubadour Westkust,2.75,Belgium,3.56,Brouwerij The Musketeers,8.5,IPA - Imperial / Double Black,Bottle 750ml,750,3.67,IPA,172328,11515,Brouwerij The Musketeers,Black IPA,538,97.0,95.0,3.71,9.2,3.718401486988848,,0,
Kuchlbauer Turmweisse,1.9,Germany,3.59,Weissbierbrauer Kuchlbauer,5.9,Wheat Beer - Hefeweizen,500ml,500,3.8,Wheat Beer,126549,3251,Brauerei zum Kuchlbauer,German Hefeweizen,152,65.0,94.0,3.3,5.9,3.324342105263157,,0,
Huppendorfer Vollbier,1.9,Germany,3.55,Brauerei Gasthof Grasser,5.0,Kellerbier / Zwickelbier,500ml,500,3.8,Kellerbier / Zwickelbier,29781,3890,Brauerei Grasser Huppendorfer,Zwickel/Keller/Landbier,143,48.0,84.0,3.17,5.0,3.1888111888111887,,0,
Fässla Lagerbier,1.9,Germany,3.43,Privatbrauerei Fässla Bamberg,5.5,Lager - Amber / Red,500ml,500,3.8,Lager,10604,1949,Brauerei Fässla,Dortmunder/Helles,150,47.0,95.0,3.16,5.5,3.170666666666667,-0.3404106101247154,150,3.170666666666667
Weiherer Zwickerla Hell,1.9,Germany,3.49,Brauerei Kundmüller,4.9,Kellerbier / Zwickelbier,500ml,500,3.8,Kellerbier / Zwickelbier,432511,1822,Brauerei-Gasthof Kundmüller,Zwickel/Keller/Landbier,19,40.0,63.0,3.06,4.9,3.0894736842105264,-0.7802847240740113,19,3.0894736842105264
Huppendorfer Pils,1.9,Germany,3.35,Brauerei Gasthof Grasser,4.9,Pilsner - German,500ml,500,3.8,Pilsner,35812,3890,Brauerei Grasser Huppendorfer,Pilsener,36,49.0,90.0,3.19,4.9,3.219444444444444,,0,
Huppendorfer Zwickel,1.9,Germany,3.51,Brauerei Gasthof Grasser,4.9,Kellerbier / Zwickelbier,500ml,500,3.8,Kellerbier / Zwickelbier,61127,3890,Brauerei Grasser Huppendorfer,Zwickel/Keller/Landbier,51,56.0,91.0,3.24,4.6,3.268627450980392,,0,
Weiherer Lager,1.9,Germany,3.39,Brauerei Kundmüller,4.7,Lager - Helles,500ml,500,3.8,Lager,36117,1822,Brauerei-Gasthof Kundmüller,Dortmunder/Helles,75,49.0,96.0,3.2,4.7,3.2106666666666666,,0,
Spaten Oktoberfestbier,1.99,Germany,3.56,Spaten-Franziskaner-Löwenbräu-Gruppe,5.9,Festbier,500ml,500,3.98,Festbier,27599,175,Spaten-Franziskaner-Bräu &#40;InBev&#41;,Oktoberfest/Märzen,535,37.0,58.0,3.02,5.9,3.0252336448598127,,0,
Fässla Zwergla,2.0,Germany,3.44,Privatbrauerei Fässla Bamberg,6.0,Lager - Munich Dunkel,500ml,500,4.0,Lager,10606,1949,Brauerei Fässla,Dunkel/Tmavý,191,45.0,81.0,3.13,6.0,3.136125654450262,-0.3770517847004164,191,3.136125654450262
Bayreuther Hell,2.0,Germany,3.52,Bayreuther Bierbrauerei,4.9,Lager - Helles,500ml,500,4.0,Lager,24571,3742,Bayreuther Bierbrauerei,Dortmunder/Helles,165,22.0,46.0,2.82,4.9,2.8157575757575763,,0,
Mager Dunkel,2.0,Germany,3.34,Brauerei Mager Pottenstein,5.1,Lager - Munich Dunkel,500ml,500,4.0,Lager,14318,1566,Brauerei Mager,Dunkel/Tmavý,46,47.0,84.0,3.15,5.0,3.169565217391304,,0,
Mager Ur-Hell,2.0,Germany,3.55,Brauerei Gasthof Grasser,5.0,Kellerbier / Zwickelbier,500ml,500,4.0,Kellerbier / Zwickelbier,79154,1566,Brauerei Mager,Dortmunder/Helles,44,63.0,98.0,3.29,4.9,3.3204545454545453,,0,
Kuchlbauer Weisse,2.0,Germany,3.61,Weissbierbrauer Kuchlbauer,5.2,Wheat Beer - Hefeweizen,500ml,500,4.0,Wheat Beer,19968,3251,Brauerei zum Kuchlbauer,German Hefeweizen,180,43.0,68.0,3.09,5.2,3.0983333333333336,,0,
Mager Märzen,2.0,Germany,3.29,Brauerei Mager Pottenstein,5.1,Märzen,500ml,500,4.0,Märzen,88299,1566,Brauerei Mager,Oktoberfest/Märzen,33,31.0,41.0,2.9,5.1,2.903030303030304,,0,
Papegaei,3.14,Belgium,3.6,Brouwerij Verstraete,8.0,Belgian Strong Golden Ale,Bottle 750ml,750,4.19,Belgian Strong Golden Ale,105495,15384,Brouwerij Verstraete,Belgian Strong Ale,172,72.0,56.0,3.35,8.0,3.3802325581395354,-0.0234613653616927,172,3.3802325581395354
Hönig Bockbier Hell,2.1,Germany,3.5,Brauerei Hönig Tiefenellern,7.2,Bock - Hell / Maibock / Lentebock,500ml,500,4.2,Bock,31247,3791,Brauerei Hönig,Heller Bock,23,50.0,84.0,3.2,7.2,3.247826086956522,-0.1783176426676083,23,3.247826086956522
Veldensteiner Rotbier,2.1,Germany,3.28,Kaiser Bräu,5.4,Lager - Rotbier,500ml,500,4.2,Lager,496628,2545,Kaiser Bräu,Amber Lager/Vienna,12,46.0,93.0,3.15,5.4,3.225,,0,
Weiherer Pils,2.1,Germany,3.37,Brauerei Kundmüller,4.7,Pilsner - German,500ml,500,4.2,Pilsner,36063,1822,Brauerei-Gasthof Kundmüller,Pilsener,50,56.0,93.0,3.25,4.7,3.27,-0.1828573110652935,50,3.27
Lindenhardter Landbier,2.1,Germany,3.48,Brauerei Kürzdörfer,5.0,Lager - Munich Dunkel,500ml,500,4.2,Lager,38252,5082,Brauerei Kürzdörfer,Zwickel/Keller/Landbier,19,57.0,91.0,3.24,5.0,3.3052631578947365,,0,
Weiherer Rauch,2.1,Germany,3.39,Brauerei Kundmüller,5.3,Rauchbier,500ml,500,4.2,Rauchbier,36062,1822,Brauerei-Gasthof Kundmüller,Smoked,203,70.0,57.0,3.34,5.3,3.345320197044335,-0.0522803937371127,203,3.345320197044335
Ammerndorfer Keller Trunk,2.1,Germany,3.42,Dorn-Bräu Privatbrauerei Ammerndorf,4.9,Kellerbier / Zwickelbier,500ml,500,4.2,Kellerbier / Zwickelbier,163997,8303,Dorn-Bräu Ammerndorf,Zwickel/Keller/Landbier,35,35.0,46.0,2.97,4.9,2.9800000000000004,,0,
